date,1,2,3,4,5,6
06-17-2015,0,9,1,1,1,1
06-18-2015,0,8,1,0,1,1
06-19-2015,0,12,1,1,0,1
06-20-2015,1,13,1,2,0,1
06-21-2015,0,15,1,1,0,1
06-22-2015,2,14,2,3,0,2
06-23-2015,0,7,1,2,0,1
06-24-2015,1,11,1,0,0,0
06-25-2015,1,14,1,3,0,0
06-26-2015,0,13,2,3,1,2
06-27-2015,0,16,2,2,0,2
06-28-2015,1,14,1,2,0,1
06-29-2015,1,12,2,2,0,1
06-30-2015,0,12,1,2,0,2
07-01-2015,1,13,1,2,1,3
07-02-2015,0,11,2,5,0,1
07-03-2015,0,11,2,1,0,2
07-04-2015,2,14,1,0,0,3
07-05-2015,0,12,1,0,0,1
07-06-2015,0,12,1,0,0,4
07-07-2015,0,10,2,1,0,1
07-08-2015,0,12,3,2,0,0
07-09-2015,1,14,1,1,0,2
07-10-2015,1,11,1,1,0,1
07-11-2015,2,11,1,1,0,1
07-12-2015,1,15,0,5,1,1
07-13-2015,0,10,1,4,0,1
07-14-2015,1,8,1,0,0,0
07-15-2015,1,13,1,3,0,1
07-16-2015,0,13,0,2,0,2
07-17-2015,0,15,1,2,0,1
07-18-2015,0,7,2,5,0,0
07-19-2015,3,14,1,3,0,0
07-20-2015,0,10,1,3,0,3
07-21-2015,0,13,1,5,0,1
07-22-2015,0,14,1,3,0,2
07-23-2015,0,14,0,3,0,1
07-24-2015,1,19,1,2,0,1
07-25-2015,0,13,1,1,0,1
07-26-2015,0,14,2,6,0,3
07-27-2015,1,12,2,3,0,2
07-28-2015,2,6,1,3,0,1
07-29-2015,0,9,1,2,0,1
07-30-2015,0,13,2,2,0,0
07-31-2015,2,9,1,0,0,1
08-01-2015,1,12,1,3,0,2
08-02-2015,0,16,0,0,0,0
08-03-2015,1,13,2,2,0,3
08-04-2015,1,12,1,1,0,1
08-05-2015,0,15,2,3,1,0
08-06-2015,1,14,1,3,1,1
08-07-2015,0,18,1,3,0,0
08-08-2015,1,14,2,3,0,2
08-09-2015,0,11,2,2,0,1
08-10-2015,1,10,3,4,0,2
08-11-2015,1,16,3,3,0,1
08-12-2015,1,13,2,0,0,3
08-13-2015,0,15,1,2,0,1
08-14-2015,0,13,0,3,0,1
08-15-2015,0,15,1,4,0,1
08-16-2015,0,15,1,1,0,2
08-17-2015,1,12,3,3,0,1
08-18-2015,0,11,2,1,0,1
08-19-2015,1,11,2,1,0,0
08-20-2015,0,14,1,1,0,3
08-21-2015,0,16,2,1,0,3
08-22-2015,2,12,1,1,0,2
08-23-2015,1,11,0,0,0,1
08-24-2015,0,11,0,2,0,3
08-25-2015,0,14,1,1,0,0
08-26-2015,0,11,0,1,0,1
08-27-2015,1,13,1,1,0,1
08-28-2015,2,11,1,0,0,1
08-29-2015,1,13,2,3,0,2
08-30-2015,0,17,1,2,0,1
08-31-2015,0,9,0,1,0,2
09-01-2015,0,10,0,0,0,0
09-02-2015,0,8,0,4,1,1
