ID;title;cat;lat;lng;count;weeks
20;北京师范大学附属中学(南门);5;39.89599311;116.3785945;16;0;0;0;0;0;3;1;0;1;0;1;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
21;小黑屋;5;39.89659773;116.3790861;7;0;0;0;0;0;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;厂甸11号院;5;39.8950925;116.3795039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;西长安街88号;6;39.89528984;116.3790153;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
24;厂甸甲9号院;5;39.89466254;116.379474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;厂甸电话局客服管理室;5;39.89508288;116.3789644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;北京市宣武区炭儿胡同小学;5;39.89443957;116.3843907;3;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;宣武文化馆;3;39.89396092;116.3820022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;陈记卤煮小肠 取灯胡同店;2;39.89522801;116.3879189;58;1;1;1;1;1;0;0;1;1;0;2;0;2;1;0;3;1;0;0;1;0;0;1;2;0;0;2;2;1;0;1;1;1;1;0;1;1;2;1;2;0;2;1;2;1;3;3;2;2;2;2;2
29;欣燕都连锁酒店前门店;4;39.8975482;116.3871389;24;1;1;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;1;0;1;0;0;0;1;1;2;0;1;0;1;0;1;0;0;0;0;1;0;1;1;1;1;0;0;1;0;1;0;0;0;0;2
30;面爱面 前门店;2;39.89833733;116.389548;26;0;0;0;0;3;0;0;2;0;1;1;1;1;0;2;0;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;2;0;0;0;0;0;0;0;0;1;2;0
31;金正阳酒楼;2;39.89800752;116.3889682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
