ID;weibo_poiid;;dianping_id;;category;weibo_title;dianping_title;address;dianping_addr;dianping_tag;dianping_tag_2;2015 bjdw event no.;lat;lon;lat_wgs;lng_wgs;lat_BD;lng_BD;weibo count;dianping count;combined_count
20;B2094654D36EAAFE4898;;;;5;北京师范大学附属中学(南门);;南新华街18;;;;;39.89739;116.38483;39.89599311;116.3785945;;;23;;23
21;B2094757DA64A5FE4798;;;;5;小黑屋;;前门西河沿111号;;;;;39.897995;116.385322;39.89659773;116.3790861;;;11;;11
22;B2094654D36EAAFE4693;;;;5;厂甸11号院;;厂甸11号院;;;;;39.89649;116.38574;39.8950925;116.3795039;;;15;;15
23;B2094654D36EAAFE4798;;;;5;厂甸甲9号院;;;;;;;39.89606;116.38571;39.89466254;116.379474;;;5;;5
24;B2094654D36EAAFE4692;;;;5;厂甸电话局客服管理室;;;;;;;39.89648;116.3852;39.89508288;116.3789644;;;6;;6
25;B2094654D66DA7FE4999;;;;0;虎坊桥小区;;宣武区广安门虎坊桥;;;;;39.896994;116.389805;39.89559395;116.383566;;;11493;;11493
26;B2094654D36EAAFE4299;;;;5;北京市宣武区炭儿胡同小学;;宣武区炭儿胡同11号;;;;;39.89584;116.39063;39.89443957;116.3843907;;;10;;10
27;B2094654D36EAAFE439E;;;;3;宣武文化馆;;琉璃厂东街29;;;;;39.89536;116.38824;39.89396092;116.3820022;;;14;;14
28;B2094654D36EABFA489E;;21812221;;2;陈记卤煮小肠 取灯胡同店;;西城区取灯胡同3号(近前门大栅栏);;;;;39.89663;116.39416;39.89522801;116.3879189;;;402;41;443
29;B2094654D36EAAFD459E;;2288158;;4;欣燕都连锁酒店前门店;;北京市宣武区前门西河沿街114号;;;;;39.89895;116.39338;39.8975482;116.3871389;;;42;99;141
30;B2094654D068ABFF439E;;512388;;2;面爱面 前门店;;西城区前门西大街正阳市场1号;;;;;39.89974;116.39579;39.89833733;116.389548;;;34;357;391
31;B2094757D465A2FB429B;;;;2;金正阳酒楼;;东城区前门西大街正阳市场2号楼(近肯德基);;;;;39.89941;116.39521;39.89800752;116.3889682;;;3;0;3
32;B209475DDB6DAAFE489E;B209475CDA6AA7F5479C;14703864;;2;Soloist coffee;Soloist Coffee Co.;北京市 39# Yangmeizhu xiejie-Beijing;煤市街杨梅竹斜街39号;咖啡厅;前门;;39.89598;116.392761;39.89457858;116.3865206;;;141;486;627
33;B2094654D36EABF9489B;;2997307;;1;云南商店;;东城区前门大栅栏西口;;;;;39.89577;116.39445;39.89436794;116.3882089;;;7;32;39
34;B2094654D168A3F54498;;5171450;;3;青云阁;青云阁酒店;大栅栏西街33号;大栅栏西街33号;三星级/舒适型;前门;;39.89528;116.39343;39.89387834;116.3871894;;;18;43;61
35;B2094654D36EABF9489A;;3193375;;4;前门客栈;;东城区煤市街33号;;;;;39.89606;116.39435;39.89465796;116.3881089;;;46;81;127
36;B2094757D66AA6FD4298;;4178762;;4;365in;365in;东城区大栅栏西街路北侧;大栅栏西街路北侧;酒吧;前门;;39.89559;116.39388;39.89418816;116.3876392;;;12;6;18
37;B2094654D36EABFB499E;;44848665;;4;天平商务楼;;东城区王府井东大街8号;;;;;39.89403;116.38597;39.89263245;116.379734;;;104;1;105
38;B2094757D16DA6FB4893;;;;1;中国书店（来薰阁书店);;西城区琉璃厂东街115号;;;;;39.89513;116.38508;39.89373303;116.3788446;;;40;;40
39;B2094654D36EABF4439B;;2001760;;2;高丽高烤肉城 南新华街店;;西城区南新华街小沙土园夹道7号;;;;;39.8935;116.38507;39.89210311;116.3788348;;;14;583;597
40;B209475CD06AA1FB439F;;512641;;1;老浒记民俗酒楼 琉璃厂店;;琉璃厂南新华街58号(近师大一附中);;;;;39.89426114;116.3851065;39.89286419;116.3788712;;;21;976;997
41;B2094654D36EABFB469F;;4201901;;1;锦昌(琉璃厂东街);;琉璃厂东街118;;;;;39.89518;116.3856;39.89378266;116.3793642;;;4;1;5
